p_val avg_log2FC pct.1 pct.2 p_val_adj
SV2C 1.76250644649596e-160 0.677474655895818 0.453 0.215 6.10162106712438e-156
SLCO3A1 1.3773011011852e-159 0.690548003867092 0.824 0.701 4.76807868219306e-155
CELF2 3.11007833516614e-158 0.389564216134567 0.985 0.958 1.07667801885117e-153
COL9A1 5.247140662369e-156 0.687240080210019 0.305 0.118 1.81650762590552e-151
ENSG00000257322 9.35581135236514e-155 0.658127584515771 0.471 0.252 3.23888833207529e-150
ENSG00000289309 1.86329795761232e-154 -1.25727843010502 0.174 0.407 6.4505511994581e-150
PRUNE2 2.16113895135063e-152 0.546732325134203 0.314 0.123 7.48164693568075e-148
NAPEPLD 6.60046984569882e-151 0.704953779084128 0.523 0.324 2.28501665588247e-146
UST 1.27382352529633e-150 0.611824821319354 0.674 0.469 4.40984966222336e-146
ZNF208 1.35808341002171e-150 -0.47151608052892 0.016 0.189 4.70154895715415e-146
GCNT1 2.30216150197306e-150 0.516205972705667 0.304 0.118 7.96985290368054e-146
LRRTM4 3.17391250584589e-148 -0.826280873590955 0.323 0.565 1.09877677039879e-143
CUX2 3.22030528041894e-147 0.640995759478847 0.642 0.432 1.11483748502823e-142
PLEKHA7 6.90074428549003e-147 0.572015338162521 0.845 0.716 2.38896866419379e-142
PIK3R3 6.8198214955581e-143 0.604684148052077 0.639 0.44 2.36095400354726e-138
SEMA6D 3.83538996286016e-142 -0.832569167123046 0.441 0.649 1.32777365124256e-137
ENSG00000286619 6.7477374626866e-142 0.417580971843603 0.333 0.135 2.33599923220748e-137
DSC3 4.82519904394275e-140 -0.567970170623956 0.035 0.212 1.67043565702254e-135
C7 6.41784656461035e-140 -1.16532120650431 0.189 0.398 2.22179430220246e-135
MLIP 3.34994072251633e-137 -0.509349003590399 0.864 0.887 1.15971597872793e-132
UBA6-DT 6.01311979497298e-136 0.584791047483302 0.717 0.544 2.0816819418217e-131
LINC02055 7.58802115342607e-135 -0.60709824803258 0.039 0.212 2.62689704310457e-130
AP1S2 2.02357784860223e-134 -0.579086679612489 0.273 0.487 7.00542415407604e-130
TNNT2 4.54421231645393e-134 -0.352471230013963 0.984 0.976 1.57316086183319e-129
ARL17B 9.77789484856464e-132 -0.433645286439649 0.051 0.229 3.38500941762459e-127
ACTC1 6.27998109594035e-131 -0.479981848223866 0.852 0.926 2.17406665560359e-126
ENSG00000287352 1.00102544925164e-123 -0.515106648098145 0.1 0.292 3.46545000276424e-119
CSMD1 6.99001689071708e-123 1.02862119554197 0.171 0.046 2.41987394739735e-118
ENSG00000286071 1.49578707645904e-122 0.593402540930012 0.741 0.57 5.17826527999354e-118
CCDC144NL-AS1 3.66871013296823e-121 -0.718397336007985 0.285 0.488 1.27007076093227e-116
MSI2 1.07043641035183e-120 0.365403685011972 0.968 0.939 3.70574380899701e-116
TMEM71 3.25458804928312e-120 0.475605886203864 0.247 0.095 1.12670583678132e-115
SLC30A8 1.19517363456512e-118 0.521281742149855 0.314 0.139 4.13757160550099e-114
ENSG00000291034 1.61450567225648e-118 0.3073167145784 0.173 0.047 5.5892571867847e-114
COBL 3.53345325947492e-117 -0.556291275754581 0.256 0.461 1.22324618389762e-112
MAML2 8.1121598223746e-117 0.433893470668806 0.942 0.881 2.80834860890786e-112
FHIP1A 4.87061736463249e-116 -0.5070842822936 0.06 0.226 1.68615902546212e-111
CPNE4 2.27010148973967e-115 -0.782040962634833 0.255 0.459 7.85886434732976e-111
STK17A 1.48466139530712e-114 0.488253683217315 0.391 0.208 5.13974928441371e-110
SMAD6 1.85286920720857e-113 0.545923583344522 0.537 0.344 6.41444790843535e-109
ENOX2 7.36891488884878e-113 -0.596546613902797 0.157 0.345 2.55104464537056e-108
NID1 3.00201279281083e-112 -0.535633422632554 0.523 0.687 1.03926680874318e-107
ACOXL 6.19023221452572e-112 -0.647848412099588 0.179 0.368 2.14299649034666e-107
TTTY10 1.33730554526004e-111 0.34554686828786 0.305 0.132 4.62961806713575e-107
MCC 1.971478532679e-110 0.459051132506525 0.886 0.817 6.82506153228144e-106
HCN1 3.13925345625603e-110 -0.654027218236901 0.221 0.421 1.08677815402128e-105
ADAMTS19 1.589480607492e-109 -0.625910564085704 0.262 0.462 5.50262291507656e-105
RUNX1 5.22053926554968e-109 -0.711203050914337 0.053 0.207 1.80729848834065e-104
NCALD 5.79020443224549e-109 0.446706626236954 0.822 0.687 2.00451087239907e-104
KAZN 1.82008475252283e-108 0.466314933850654 0.836 0.717 6.30095140475878e-104
COL1A2 5.55451503978514e-108 -0.76900001298376 0.058 0.215 1.92291756162322e-103
STAT3 4.48635869556371e-106 -0.462689403707781 0.601 0.746 1.5531325168172e-101
DGKI 1.06448497663215e-104 0.542826249887801 0.943 0.872 3.68514054060283e-100
STPG2 1.21072623949494e-104 -0.758050309119789 0.247 0.428 4.19141316850753e-100
ACTA2 1.44811863594776e-104 -0.618109655218323 0.628 0.777 5.01324190578757e-100
PCAT1 1.40863202054391e-103 0.546425801424798 0.303 0.144 4.87654319192097e-99
SYNE2 1.25408970842275e-102 -0.515288413183658 0.658 0.792 4.34153316158873e-98
DLG2 2.24555396019605e-102 -0.418384138231623 0.895 0.954 7.77388325480271e-98
ENSG00000287292 2.59364333310303e-102 0.592154425922496 0.306 0.151 8.97893385486938e-98
MIR100HG 7.18762486718763e-101 -0.620224593927316 0.463 0.631 2.48828385277169e-96
GRIA1 2.65413735440706e-100 -0.590233786492317 0.017 0.142 9.18835810722182e-96
ADAM23 3.20099742323339e-100 0.486666793886686 0.656 0.481 1.10815329794917e-95
ATP13A3 3.53124396525556e-100 0.36236792826238 0.959 0.916 1.22248134833182e-95
RGL1 4.3799041044316e-100 0.466287088892319 0.824 0.707 1.51627900191317e-95
TSPAN18 3.06697160327811e-99 0.40371600541432 0.828 0.692 1.06175489933885e-94
LINC01456 2.06717946472518e-98 0.315732720583849 0.186 0.062 7.1563685889321e-94
GFOD1 2.50921694100957e-97 0.545206064817711 0.83 0.735 8.68665812808105e-93
EPB41L4A 8.4875204594706e-97 0.489538012296082 0.758 0.635 2.93829470786413e-92
ENSG00000287124 1.06960530658873e-96 0.514036809594743 0.259 0.116 3.70286661087952e-92
ADCY5 1.48939408803028e-96 0.614868182653775 0.763 0.652 5.15613339335203e-92
COL14A1 2.56950994174331e-96 -0.579267041949927 0.135 0.307 8.89538646732117e-92
PLAGL1 4.78497665599322e-96 -0.552121181175013 0.076 0.226 1.65651106853829e-91
PRMT8 2.1455808537782e-95 0.396463599934101 0.292 0.137 7.42778635769475e-91
APCDD1 3.11272299419663e-95 0.388265509920195 0.236 0.1 1.07759357336093e-90
COL6A2 6.99105113672154e-95 -0.368206993208681 0.016 0.135 2.42023199302163e-90
PTEN 1.62431654867911e-92 0.491813824776937 0.704 0.573 5.62322145987222e-88
COL2A1 6.24954202327249e-92 -0.443569242359617 0.105 0.261 2.1635289530367e-87
GPC6 3.39240366805495e-91 0.46031696538111 0.89 0.812 1.17441622584394e-86
NRP2 5.6378615214102e-91 -0.432540662840693 0.029 0.152 1.951771280097e-86
PRKY 4.45504156550797e-90 0.317771563523432 0.256 0.113 1.54229083956321e-85
ENSG00000286385 6.8874376622812e-90 -0.473226004363477 0.047 0.18 2.38436204430513e-85
SOX5 3.18187582968982e-88 0.412454683321574 0.907 0.851 1.10153359348032e-83
EEF2 1.68133761133623e-87 -0.404174564229357 0.61 0.73 5.8206226766849e-83
SORCS3 1.70066135895096e-87 0.67745313521672 0.583 0.421 5.88751955855233e-83
PRKD1 2.85646854226529e-87 0.486534956891882 0.505 0.337 9.8888084464682e-83
ANGPT1 5.4471538443458e-87 -0.666681938048413 0.089 0.24 1.88575018937407e-82
ADGRG6 1.06473080833256e-85 -0.558845070663888 0.364 0.52 3.68599158536649e-81
SREBF2 1.62063812825634e-85 0.377067118023876 0.728 0.587 5.61048713621062e-81
EEF1AKMT1 2.24244266323821e-85 0.467060273818656 0.29 0.146 7.76311225586437e-81
PRKCH 4.09232692467623e-84 0.576961800050866 0.535 0.383 1.41672265805366e-79
SMARCA1 1.69080982944899e-83 -0.408247941274595 0.588 0.717 5.85341454856946e-79
ESRRG 2.49642697131379e-83 0.277791871690893 0.986 0.972 8.64238053199122e-79
CRMP1 3.04088428969222e-83 0.317876643871045 0.242 0.11 1.05272373224855e-78
DANT2 3.53321040441008e-83 -0.391383795972646 0.816 0.87 1.22316210990273e-78
TMTC2 8.68460519133168e-83 -0.802804939073404 0.293 0.453 3.00652347118712e-78
DAB1 2.39751052439202e-82 0.666142225305982 0.529 0.379 8.29994168439272e-78
ENSG00000286329 5.93149724674745e-82 -0.375710400503425 0.098 0.243 2.0534250318515e-77
CADPS 1.2253764862007e-81 0.442103471569494 0.774 0.655 4.24213085757822e-77
DMD 1.26934881124617e-81 -0.358299898950474 0.99 0.996 4.39435864965312e-77
LINC00923 1.93523129703549e-81 -0.378449174417701 0.063 0.197 6.69957722720717e-77
PSD3 2.38255917839843e-81 -0.279653186974381 0.98 0.991 8.24818161969752e-77
HNRNPA2B1 1.86241376705961e-79 -0.332807834337406 0.782 0.87 6.44749022018365e-75
AGBL4 2.17562452797064e-79 -0.475593440151737 0.172 0.336 7.53179455338156e-75
ENTREP2 1.19384748486834e-78 0.400742260584394 0.598 0.426 4.13298060786572e-74
PLXNA4 2.10515118089078e-78 0.432282940868935 0.957 0.94 7.28782287312578e-74
ST8SIA1 2.31462744433381e-78 -0.417257030082591 0.085 0.222 8.01300874953921e-74
SLCO5A1 1.32259958375904e-77 -0.516547901419199 0.08 0.215 4.57870749901543e-73
SEMA3C 7.95469081091485e-77 -0.473518879516973 0.215 0.375 2.75383441183061e-72
PPFIA2 1.06958746637357e-76 -0.664529438446168 0.12 0.264 3.70280484983866e-72
NRG3 3.96539202923888e-76 0.696316254300748 0.678 0.544 1.37277906660221e-71
VWC2 8.06220009014279e-76 0.440209553774905 0.795 0.687 2.79105304920653e-71
RASAL2 7.52979012556302e-75 0.321331644970284 0.912 0.857 2.60673804356866e-70
SYNPO2 2.52061151953011e-74 -0.424740767485969 0.055 0.176 8.72610501946129e-70
ADAMTS12 3.42136983043808e-74 0.411409259319985 0.761 0.641 1.18444402159936e-69
EXT1 8.53361178085293e-74 0.302126786551709 0.992 0.986 2.95425106241348e-69
HNRNPA1 9.56920588493444e-74 -0.390761901187751 0.519 0.658 3.31276338530545e-69
USP9X 1.7282526413008e-73 -0.362697183122928 0.705 0.786 5.98303781891925e-69
DPP10 2.36256883997632e-73 -0.478812981787636 0.066 0.19 8.17897706711403e-69
LINC02899 2.37459472063798e-73 -0.482371709170749 0.722 0.743 8.22060946337663e-69
AOPEP 3.46364907721772e-73 -0.439254745359296 0.772 0.842 1.199080674042e-68
SPHKAP 4.20296912488326e-73 0.427034271105195 0.95 0.891 1.45502588134334e-68
ZNF385D 4.3508380990818e-73 -0.60715837672481 0.06 0.18 1.50621664152113e-68
LRBA 4.8040536425715e-73 -0.378748839659093 0.775 0.847 1.66311533052183e-68
RABGAP1L 6.6576366745479e-73 -0.449252396851721 0.413 0.565 2.30480724036174e-68
KDM5D 4.38978712912487e-72 0.277452587064963 0.289 0.148 1.51970040623174e-67
L3MBTL4 8.00361223334937e-72 0.557989949229785 0.517 0.375 2.77077051906322e-67
LRRC52-AS1 8.4739356261767e-72 0.454661436417738 0.448 0.302 2.93359177442611e-67
CCDC85A 8.96568349588628e-72 -0.478081237256979 0.165 0.319 3.10382996944087e-67
SNHG14 1.11987830294262e-71 0.279021161530944 0.975 0.961 3.87690669695706e-67
FOXP1 2.10922875295176e-71 0.287163207106706 0.957 0.94 7.30193901984371e-67
ROBO1 7.18602760763547e-71 0.490055065409144 0.861 0.806 2.48773089748732e-66
LINC01411 1.54658061387322e-70 0.687519074733278 0.108 0.031 5.35410742716772e-66
SCD5 4.17431849784162e-70 0.334734781264487 0.205 0.093 1.44510732076779e-65
MYOCD 5.75662678633003e-70 0.35765818842359 0.905 0.84 1.99288662715959e-65
MITF 1.68705500611793e-69 0.355353968174059 0.943 0.907 5.84041572567964e-65
ZNF69 2.69455655548818e-69 0.386297613633269 0.534 0.39 9.32828533944453e-65
LYPD6 1.35591032090265e-68 0.459610192877943 0.241 0.122 4.69402593993287e-64
CPEB4 1.39410105521658e-68 -0.332336122332317 0.782 0.849 4.82623844305427e-64
ANO4 2.84290989915401e-67 0.407696534930298 0.19 0.085 9.84186977988127e-63
SPRY4-AS1 3.08642931121329e-67 0.424286593818168 0.651 0.513 1.06849096324893e-62
SORCS1 5.08155055787714e-67 0.422160448246581 0.867 0.766 1.75918198763149e-62
NEDD9 6.84704254795832e-67 0.324512289294384 0.32 0.179 2.37037765967769e-62
PEG10 2.16231712031646e-66 -0.864477012392705 0.132 0.26 7.48572563882356e-62
RBMS3 2.78011652318771e-66 0.257469811165458 0.972 0.93 9.62448539162352e-62
HSP90AB1 4.87078360345319e-66 -0.34967394958469 0.569 0.693 1.68621657567946e-61
ZMAT4 6.99228152856973e-66 -0.361314215443309 0.059 0.172 2.42065794237556e-61
PWRN1 7.81337594842636e-66 -0.464276700043956 0.261 0.409 2.70491261958572e-61
DENND2B 9.2509214128313e-66 0.405519409918417 0.438 0.296 3.20257648390807e-61
MAMLD1 2.30263226797005e-65 0.379227842491715 0.141 0.052 7.97148264848551e-61
ZNF804A 3.64421929941141e-65 0.532501409426962 0.528 0.382 1.26159227926324e-60
ENSG00000282890 2.8079331877401e-64 -0.377441078095348 0.069 0.185 9.72078390263746e-60
DDX3X 6.38185415083786e-64 -0.372502049366488 0.429 0.566 2.20933408847856e-59
LRP1B 1.08980430636582e-63 0.578154120702218 0.215 0.104 3.77279352820785e-59
PCNX2 1.28276311030353e-63 -0.336347255586397 0.098 0.221 4.44079761155978e-59
KCNN2 1.70537672336127e-63 -0.342958545119085 0.777 0.853 5.90384367860437e-59
DGKB 1.93401599485081e-63 -0.530794094182462 0.191 0.332 6.69536997257401e-59
TGM2 2.12714262527141e-63 0.473984413665231 0.617 0.5 7.36395505442709e-59
DGKG 2.39156895875188e-63 -0.698833529365133 0.123 0.248 8.27937257830313e-59
GRB10 3.07449351609547e-63 0.293750616468674 0.646 0.488 1.06435891033709e-58
UNC5D 3.1335062609857e-63 -0.837911648899628 0.1 0.221 1.08478853249064e-58
LYPD6B 3.9387921280319e-63 0.471672389074858 0.206 0.099 1.36357044680336e-58
TCF7L2 2.62909300928179e-62 0.370774200660349 0.876 0.797 9.10165708883264e-58
NCL 3.01356045170307e-62 -0.334930783067468 0.636 0.738 1.04326449277508e-57
PURPL 4.43381265717183e-62 -0.28338071374547 0.022 0.111 1.53494160378632e-57
SCN7A 5.7224653533242e-62 -0.312934682085985 0.033 0.13 1.9810602806673e-57
ALK 2.97937662165382e-61 0.627178821646792 0.2 0.097 1.03143039265034e-56
MIR4435-2HG 3.37371344253741e-61 0.44121155380619 0.461 0.325 1.16794585667202e-56
ENSG00000289084 4.7127710850024e-61 -0.57706045236757 0.216 0.357 1.63151422191698e-56
FGF10 5.22213372543286e-61 0.355609753038895 0.261 0.142 1.8078504744076e-56
EEF1A1 1.20504500366489e-60 -0.319512540993142 0.627 0.744 4.17174529818749e-56
TPM2 1.47026407494494e-60 -0.348296429131419 0.457 0.592 5.08990720105187e-56
NGFR 1.68905897140207e-60 0.274470161559546 0.135 0.051 5.84735325309681e-56
DDX5 2.50404698684943e-60 -0.303310437627154 0.703 0.786 8.66876026377405e-56
UNC5B 3.47232459362354e-60 0.357486281441298 0.683 0.557 1.20208405106653e-55
EFNA5 4.37960908801625e-60 -1.13465534913022 0.284 0.411 1.51617687018035e-55
NUTM2A-AS1 1.10269939896883e-59 0.315429306466362 0.404 0.263 3.81743504929021e-55
PRKCE 1.29393955159746e-59 0.287298766740081 0.897 0.839 4.47948933367526e-55
PROS1 1.51297037694575e-59 -0.411182322271435 0.415 0.543 5.23775214794851e-55
MORF4L2 2.58114780824991e-59 -0.357778567388767 0.298 0.436 8.93567559738038e-55
IQSEC1 2.95308968609239e-59 0.431944647235874 0.459 0.327 1.02233011842832e-54
ABTB2 3.60572014753627e-59 0.421042628527593 0.724 0.623 1.24826425787558e-54
SLC7A2 5.30219462176461e-59 -0.430538394235624 0.224 0.36 1.83556675610869e-54
MYL7 2.64924559375319e-58 0.424906431707622 0.687 0.567 9.17142332101418e-54
DOK4 2.83559533296718e-58 0.343863852911275 0.37 0.241 9.8165474831991e-54
ROR2 1.14234974434107e-57 0.374537523253209 0.83 0.767 3.95470057993434e-53
MVK 3.00485745082838e-57 0.254282206343746 0.182 0.085 1.04025160090228e-52
MASP1 6.75651371387373e-57 0.365280445385147 0.721 0.608 2.33903748260595e-52
NFIA 8.27378455418162e-57 0.306175737728337 0.978 0.959 2.86430147481213e-52
RERG 1.92418952651526e-56 -0.38248248388231 0.105 0.221 6.66135172184319e-52
WNT5B 2.28428958255711e-56 0.380937196059099 0.584 0.459 7.90798210585446e-52
ENSG00000206549 8.09845674076136e-56 0.366388036389188 0.343 0.218 2.80360473908418e-51
CLIC5 8.81123736317676e-56 -0.35717368324808 0.098 0.211 3.05036226275816e-51
MICAL2 1.41774284862834e-55 0.326272928638736 0.889 0.83 4.90808396766646e-51
FBN2 1.44992821853106e-55 0.262587017640187 0.994 0.977 5.01950649973268e-51
MUC20-OT1 2.45003434023692e-55 -0.356674012296818 0.298 0.433 8.4817738824662e-51
EDNRA 4.7842208837088e-55 -0.412104129596882 0.275 0.408 1.65624942773115e-50
CSRP3 5.79438535913886e-55 -0.422343333027116 0.317 0.448 2.00595826748028e-50
UACA 1.02925086736818e-54 0.351139409588405 0.763 0.682 3.56316357774192e-50
PSAP 1.78902843314629e-54 -0.32456763480254 0.475 0.595 6.19343753270915e-50
FERMT2 2.00689602632958e-54 -0.37194068666439 0.582 0.693 6.94767335355036e-50
GSE1 4.11208120129226e-54 0.307303783556445 0.888 0.828 1.42356139107537e-49
KDM6A 6.44499031260908e-54 -0.360472640060476 0.795 0.841 2.23119119632214e-49
MDH1 3.11180882153699e-53 -0.346164525892849 0.434 0.553 1.07727709592789e-48
LINC03000 5.03377934063153e-53 -0.588732575661189 0.063 0.161 1.74264406993323e-48
SCN9A 5.68625047180202e-53 -0.271751961888204 0.024 0.104 1.96852305083314e-48
SMAD9 1.38161207448292e-52 0.301747407468564 0.556 0.417 4.78300284065243e-48
NBEA 4.58419107012313e-52 0.331133137906579 0.847 0.786 1.58700110656593e-47
LIMS1 6.88840336846013e-52 -0.380040006456918 0.565 0.667 2.38469636212721e-47
NAP1L1 9.17666327064032e-52 -0.283886867845969 0.764 0.828 3.17686905766297e-47
VCL 1.3478595518037e-51 -0.340860447040726 0.818 0.888 4.66615498238923e-47
HOMER2 1.46247702175049e-51 0.303791596745385 0.192 0.098 5.062949201598e-47
RIMS2 2.53105990397262e-51 0.267910095489784 0.121 0.047 8.76227628156281e-47
LRFN5 4.36313268778865e-51 -0.376448377455325 0.232 0.364 1.51047290518555e-46
CASC15 5.97896930050987e-51 -1.08087267229315 0.13 0.237 2.06985938214351e-46
RBBP7 7.93398078485972e-51 -0.321541444248764 0.282 0.41 2.74666480791059e-46
ANKRD6 2.82478053075803e-50 0.357482575099132 0.539 0.414 9.77910771943122e-46
GCNT2 7.65180744475947e-50 0.355228571494435 0.581 0.458 2.64897921930128e-45
ENSG00000225087 1.77277431448274e-49 -0.339382051319692 0.065 0.161 6.13716739930779e-45
AKAP12 2.34540673604311e-49 -0.435475282946322 0.516 0.622 8.11956357950764e-45
LDLR 3.14080590781663e-49 0.310863158991865 0.427 0.298 1.08731559722704e-44
COL13A1 1.08296905486485e-48 0.384968733841971 0.767 0.667 3.74913057103661e-44
ITPR2 1.21375169631377e-48 -0.396192656278562 0.327 0.45 4.20188699746863e-44
SPRY4 1.47868065747276e-48 0.341120343845412 0.459 0.336 5.11904456810496e-44
TECRL 1.48122007809975e-48 -0.338579789573469 0.854 0.873 5.12783578837353e-44
CPED1 1.82981994564828e-48 -0.294071239490785 0.066 0.161 6.33465366983979e-44
GEM 2.59411160882894e-48 -0.27099082558599 0.046 0.133 8.98055497860491e-44
NRXN1 2.72159730420558e-48 -0.394709634991232 0.333 0.468 9.42189770742931e-44
IVNS1ABP 2.92254007557097e-48 -0.366401323584162 0.381 0.504 1.01175414876191e-43
SUSD1 3.24947455127448e-48 0.281362071476375 0.358 0.237 1.12493559490571e-43
LDB2 3.39238770416599e-48 -0.47963573317365 0.037 0.118 1.17441069930522e-43
SRGAP3 7.0642952935235e-48 -0.299023256578914 0.138 0.253 2.4455883876649e-43
HSPA5 1.16023203730922e-47 -0.399102323832023 0.46 0.572 4.01660728996078e-43
SNAP91 1.77276313149141e-47 0.287010772902671 0.162 0.077 6.13712868491013e-43
PGBD5 1.96346897254357e-47 0.291064356378113 0.203 0.108 6.79733323604858e-43
HNRNPU 2.85072193440914e-47 -0.26998982517467 0.741 0.813 9.868914264731e-43
CTTNBP2 2.98439612276665e-47 -0.296548364969716 0.591 0.689 1.03316809374058e-42
CANX 3.12236422865249e-47 -0.307008444859296 0.571 0.672 1.08093127231721e-42
RPS6KA5 3.23883218849946e-47 -0.378852968463086 0.105 0.208 1.12125131533663e-42
MGAT4C 3.36590853674501e-47 0.425373769305764 0.652 0.551 1.16524387633576e-42
PLEKHA4 5.30608921743373e-47 -0.307355117294321 0.154 0.268 1.83691502618338e-42
BEX3 8.81048417417489e-47 -0.307921016692237 0.252 0.372 3.0501015162576e-42
FUS 1.17082138171734e-46 -0.268448033294521 0.637 0.727 4.05326654136726e-42
CNKSR2 1.74976828315616e-46 -0.346592174172226 0.266 0.393 6.05752281945833e-42
TENM2 1.8127768358358e-46 -0.530018791693496 0.183 0.298 6.27565212797996e-42
COL6A1 1.91249231693976e-46 -0.309933384072493 0.141 0.25 6.62085715201375e-42
CNTNAP2 2.89774910954559e-46 0.718242618395354 0.282 0.172 1.00317176423359e-41
SLC2A3 3.00463688319052e-46 -0.404027856094005 0.32 0.437 1.04017524259173e-41
AHSA2P 3.04665922808898e-46 -0.274524777551307 0.133 0.241 1.05472295817213e-41
SFMBT2 3.47764213043894e-46 0.319612792641232 0.396 0.277 1.20392492913666e-41
CALD1 3.77640663537849e-46 -0.310510955748646 0.932 0.955 1.30735421310168e-41
USP53 4.12700613455621e-46 -0.329423244314529 0.53 0.638 1.42872825372202e-41
JPX 6.3752045601723e-46 -0.342982738396215 0.542 0.637 2.20703206668605e-41
STK39 8.7273585869577e-46 0.304786780701233 0.865 0.813 3.02132426921889e-41
MARCKS 2.27618242414056e-45 -0.255553891517199 0.069 0.161 7.87991593413219e-41
HS3ST3A1 2.92933627687147e-45 0.253203751877458 0.121 0.051 1.01410692569014e-40
NLK 3.15695161193832e-45 0.298961810403578 0.575 0.453 1.09290507853693e-40
KALRN 3.29569783765647e-45 0.516935002318951 0.711 0.617 1.14093763441829e-40
PLOD2 4.77166445944795e-45 -0.453872671877134 0.555 0.654 1.65190251921628e-40
FBN1 1.04428109404556e-44 -0.459399775937246 0.076 0.169 3.61519671947632e-40
EIF2S3 1.4627038780606e-44 -0.29141997263417 0.244 0.362 5.063734555458e-40
SPRED2 2.07695563742398e-44 0.32747962371889 0.452 0.333 7.19021272119808e-40
FSIP2 3.00373754958975e-44 -0.302821602784659 0.4 0.522 1.03986390229248e-39
IL1RAPL2 3.19393260359289e-44 -0.376630636771092 0.136 0.244 1.10570752803782e-39
